english_texts,sentiment
"First of all, thank you to the Oneamz family, your help has touched a lot of help and a software that works very meticulously, especially the account manager I’m Nazmi Çalışkan Bey, thank you very much, we are very valuable :):",Positive
"I thank Nazmi Bey, I am very pleased to approach my question with a solution -oriented approach. Thank you very much for the relevance.",Positive
"Hello to me, I would like to thank the Oneamz team, who first fed the Dropshipping business model because of Fatih Bey, and then Nazmi Çalışkan, for his sincere and professional approach.",Positive
"Hello, Zoom Meeting is finished with our Account Manager Nazmi Bey.He answered our questions without getting tired of them one by one.He's doing his job with the same enthusiasm as usual.We are very lucky.Thank you.Dilem Gözde Erkan",Negative
"I thank you to the Simge lady.At the opening of the store and other account settings, it was not convincing in the first place because it was useful in providing sales and providing sales, but I would like to thank all Oneamz for e -trade in the virtual environment.Because of their support for one -to -one interest and sales.I have completed about 2.5 months and I get regular sales.I recommend it to new thinking.You like it as the sale comes.",Positive
Thank you very much for the support and interest you have shown as a team.I wish you continued success..,Positive
"I would like to thank Simge Hanım and İlkay Hanım.I bought it from Annex ** K ***.12 months did not sell and no proper attention.With the reference of Fatih Çoban, I received the Amazon training and software from Oneamz.I was very pleased that İlkay was so sincere and solvent approaching my problem.Thank you.Simge Hanım separated her valuable time.His knowledge and experience are very good.I will recommend it to my immediate surroundings.7/24 answers our questions.Thank you very much.I expect from the Oneamz team: If you open my friend's account that is suspended, you will be a king :)",Positive
"I would like to thank Ada Bey, Simge Hanım, Mrs. Bova for all their support.I would also like to thank Emre Bey for his trainings.I believe that Oneamz is really a very well equipped and solid team.It was a great chance for me to come across you while researching the Amazon.I wish you continued success.Respects.",Positive
Thank you very much for their support to Onur.,Positive
I would like to thank Mr. Onur for getting very good results in a very short time with his support and information.,Positive
It has been 15 days.,Neutral
Thank you to Simge lady really interested with me… I also thank the whole team and Emre Bey…,Positive
Oneamz Team helped us very much about the amazon and without the limit of time.,Positive
Thank you for Simge Hanım's Technical 24/7 service,Neutral
"I would like to thank Ömer Bey and Ada Bey for their support and experienced training.I would like to thank the Simge Hanım, Fatih Bey and Oğuzhan Bey.Mr. Emre, you create very good teams…",Positive
"Oneamz has been 3 months.I would like to thank Kübra from the support team that has done its best to solve my problems quickly without saying both my sales shipments and my account health and all other issues.If you weren't for you, maybe I could have been written differently.Thank you very much.",Positive
"I would like to thank everyone, especially Ömer, to the dear Oneamz team.The information in fast sales training was very valuable.We thank you for adopting the principle of winning together and reflecting it in education.Kind regards",Positive
Oneamz is really successful in search of product.Filters are useful and successful training on YouTube.,Positive
"I always thought of doing a trade in my head, but while I was researching what I should do, I heard the name ”Oneamz” on youtube.I heard well.It is an excellent feeling to advance with a huge team that sincerely shares very valuable information.I would like to thank Ömer Bey -Ada Bey-Fatih Bey-Oğuzhan Bey who gave all kinds of support to Kübra Hanım, who supported me sincerely and sincerely supporting me on this journey.”If you say to trade while sleeping = Oneamz” Oneamz ”is a huge family and I am happy to be in this family.",Positive
Oneamz is really successful in search of product.Filters are useful and successful training on YouTube.I am happy to be oneamz and I am part of this family ..,Positive
VERY SUCCESSFUL,Positive
"I just joined your bee after a lot of quest, I really thank the Oneamz team.There are many people who do not even give the information they give free of charge.Information is valuable.Adds value.In order to reach every information, one actually spends the most valuable capital given to him.Thank you for sharing this value with us.You are good.",Positive
Thanks was very helpful,Positive
"You are very successful, I follow in youtube Oneamz Family",Positive
"Thanks to the Oneamz program, I can find thousands of products with high snow. It is a very easy and easy -to -use program.",Positive
I am preparing to make sales in Amazon by watching your Amazon videos on Youtube.I will definitely start using our software before starting sales.,Neutral
A perfect system with one word.I am very happy to meet Oneamz.,Positive
"Hi, I started doing dropshipping in Amazon and I would do research to work with a software that I met your videos on your youtube very useful thank you.Thank you very much and gently to share the examples of objection in your video to make objections for the Policy errors I encountered.",Positive
I have been selling for about 6 months with Oneamz and my turnover has reached the figures I would not guess.I am really glad I recommend it.,Positive
"Valuable Oneamz Elevation has been a very nice software, I got the first order while using more free version in a short time like 15 days.I would appreciate it if you send me tradmark product infringement appeal samples.Health to your emiş again",Positive
"Valuable Oneamz Elevation has been a very nice software, I got the first order while using more free version in a short time like 15 days.I would appreciate it if you send me tradmark product infringement appeal samples.Health to your emiş again",Positive
"The information given about the account health section I am most afraid of in Amazon and how to take action has greatly reduced my fears, thank you.",Positive
I use youtube videos.,Neutral
"A useful software, every dropshipPing player needs to be used",Positive
Software and employees are really trying to help everything.,Positive
Beautiful,Positive
"A great software and a great team.I really do everyone who works, they do their jobs very well from A to Z.Although we have worked together for 6 months, we have not had any problems.",Positive
I find the videos on Youtube very useful and I hope to continue.,Positive
"Dear Oneamz Family, I don't use instagram unfortunately, but I follow our Telegram channel https://www.youtube.com/watch?v=gx606_twsp4 I am writing to get the e -mail examples we mentioned in the video here.",Negative
"Your educational videos on Youtube are great really, I wish you the continuation of these videos.Thanks for all the information and support you have provided.In addition, I would appreciate it if you send the file of the objections mentioned in the Action Plans course to be written on Amazon Dropshipping Account Health and Violations.",Positive
Everything is under control with Oneamz 🙂,Neutral
"You make good examples by showing everyone good methods, thanks for everything",Positive
thanks,Positive
"Those who are inexperienced in software can use them with peace of mind as someone who tries all software in the market, I don't even count the only software features that can make the best optimization and listing.The team provides live support 24/7 trust 0 ‘You can use it with peace of mind.In the 14 -day free trial process, the 13th day sales came to my confidence.I highly recommend that you can win foreign exchange and start this sector ahead.",Positive
Thanks for your video sharing.,Positive
Thanks for your sharing.,Positive
"A great software from A to Z.It is an excellent program that works exactly in accordance with Amazon's policies, hosting a very detailed product search and inventory filtering system.",Positive
It is necessary to listen to the logic of professional counseling from this team…,Positive
I wish you continued success.,Positive
"Oneamz has improved itself very much, I recommend it",Positive
A very useful and beautiful program.They are very interested as a team,Positive
Your information is very important to us,Positive
I find it successful.,Positive
Thanks,Positive
I was very pleased with the fast sales support package Zoom trainings both enjoyable and Ömer was very memorable because of the expression of our teacher Amazon Dropshipping Business Model to the newly starting friends I recommend the Oneamz software and training.It is really hard to find someone who does their job properly when there are so many fraudsters on the market.Thanks oneamz 🙂,Positive
The price works well in the proper performance software Aradepo.,Neutral
The market is the most affordable and price performance software.,Positive
"The more you take care of, the more you can get a software, thank you for giving us such an opportunity.",Positive
"In particular, I would like to thank Sırma, who helps me to receive this training and answered every question without interruption, and Ömer Hocama who gave this perfect education.Let it be.",Positive
"Training, software, consultancy always support staff, all of the first class.I was successful with you for the valuable information you added to me, especially my teacher Kubilay, Ömer and Oneamz family thanks.",Positive
A program made to facilitate work.A customer -based program that is not focused on sales.Thanks.,Neutral
A very nice system is offered.Health to your hands,Positive
"Hello, I am grateful to him for the information given by our teacher Turan Emre Yaka, who is a student of oneamz family, for his efforts and efforts.He is a teacher who has dedicated himself to this business, who gives his best support in his best way and tries to give.I appreciate it.I thank you very, very much for your interest and interest.In addition, I would like to express my gratitude to the Oneamz management for giving you the opportunity to get to know them for adding such valuable people and teachers to your company.Thanks Oneamz.",Positive
useful,Positive
It is very helpful.,Positive
"I think the best company in Turkey for those who want to make one amz e-commerce.Consultancy services, training process, 24/7 questions to get answers to your questions, Suspend support services are excellent.As a software, it is a very detailed software in terms of search criteria as well as the simplest and simplest.It is also one of the most important features that distinguish between other companies.I would recommend it to everyone",Positive
Very good ++++,Positive
"Oneamz helps a useful program and sales.Thanks for their support to the team, especially Hilal Hanım.",Positive
"I think the best company in Turkey for those who want to make one amz e-commerce.Consultancy services, training process, 24/7 questions to get answers to your questions, Suspend support services are excellent.As a software, it is a very detailed software in terms of search criteria as well as the simplest and simplest.It is also one of the most important features that distinguish between other companies.I would recommend it to everyone.",Positive
"I thank the Oneamz team, I started Dropshopping with them, and even though I didn't know, my sales started to come.Thanks to you, we are moving so fast in such a short time.Thank you again.",Positive
Useful and instructive. Health for your labor.,Positive
Great software,Positive
"Before starting Dropshipping, I provided interviews with all software service companies by correspondence and on the phone.But the best answers to my questions gave Sırma Hanım from the Oneamz team.I asked him about what I didn't know about the software and Amazon.All the Oneamz team, especially Sirma Hanım, is doing his job.As I promised him, if the Oneamz Ankara office opens, I will take his portrait and take it to the office.(Really) I bought a fast sales support package from Ömer Bey about 1 week ago.According to what is described in the course, I find and add my products.I got my first sales, but it's not enough.In 2022, I want to be the oneamz user who sells the most.Let's see if I can succeed orum I have a request from the administration on this occasion.Please evaluate the Opening of Oneamz Ankara Office.There are issues I need to keep my promise.Endless thanks to all the Oneamz team, especially Sirma Hanım and Ömer Bey.",Positive
Very nice and useful,Positive
I use the trial version of Oneamz Software is very useful for beginners,Positive
I am very happy to switch to Sellerrunnig here.I can choose the warehouse I want freely and offer my criticism in a comfortable way.,Positive
I used the trial version of Oneamz.It's fine!It finds very easy to use and very good products,Positive
We will thank the oneamz software and his team because of his user friendly and solved -oriented approaches.,Positive
"As a lady who never understands the computer, I chose Oneamz on advice.Even very simple programs would be very difficult for me.I didn't know much about e-commerce.I learned everything about Dropshipping in and after education.Now I'm running my own stores.I would definitely recommend to those who will start this for the first time.This platform helps you in every subject.First of all, thank you Ömer Hoca for Zoom training.I would like to thank Kubilay, Emre and Arda for their support.",Positive
"Previously, if I watched many videos on Dropshipping on the internet, I decided to enter the e-commerce with the entry class training and Oneamz program from the Oneamz team and I got my first sale while continuing my training.This is called success.This success belongs to the whole Oneamz team, especially Ömer Bey… Thank you for everything ..",Positive
"Thanks to the Oneamz team, I have been working for 5 months, especially finding Choice products, 7/24 live support, Order Bot usage, Turkish interface, and showing one -to -one interest without any disruption, and I am very pleased.I have never encountered double Asin loading problems I encountered in other software.I will soon participate in the broadcast on Tuğer Akkaya Youtube channel and express these services many times.Thank you very much again, I wish you continued success.",Positive
very good software,Positive
I have been using oneamz for about 1 month.The software is quite simple and understandable.You can dominate the software in 2.3 days.The free zoom trainings they provide are also very informative.Thanks Oneamz.,Positive
I am very pleased in general.I see the benefits of oneamz in my floods account.,Positive
The software is very successful and explains to improve themselves.They constantly train users using free new videos.,Positive
They really solve every problem in every matter instantly on the market.,Positive
The most complicated Amazon Dropshopping with Oneamz is very easy.Thanks for this useful and domestic software,Positive
"First of all, thank you very much for their interest in Oneamz Group for the first time I see the support line of a company so well, especially for her help to Gülşen Hanım.Thank you",Positive
very useful information thanks,Positive
"It is quite useful, I recommend.",Positive
"A really useful software, even if you don't know anything about Amazon, you can sell it with oneamz, and the Oneamz team is very good and interested, especially if the software is completely Turkish, I recommend it to everyone.",Positive
Great software,Positive
"I am satisfied with the price for 5000 Asin follow -up, but I think 10,000 horses may be a little more suitable thanks.I would appreciate it if you can send the appeal word file.In addition, the automatic deletion of the fair prey should come.",Positive
Very good information.,Positive
It offers a pleasant experience.,Positive
It is a convenient and cost -effective software.The technical team provides quick return and they are very interested.,Positive
"Finding the product of the software legend, tell me what you want to software, according to the profit margin you have set the products, add to the liste, all.It this is one-to-one support and live chat with 2-3 at night you will get the answer to all your questions.",Positive
"Not only a software where you can manage your Amazon sales, but a magnificent team with the aim of the Amazon coaching.",Positive
A very suitable automation tool for Amazon.,Positive
Nice software.,Positive
simple and useful,Positive
"They answer your questions 24/7 from live chat, you don't have to hang out for a long time.Continues to improve itself",Neutral
I would like to point out that I found the Oneamz software useful and sincere.The price/wrought iron of the software is also quite good.,Positive
I have been using oneamz software for about 5 months in my stores in different marketplace regularly. After my sales increased by 40 percent.🙂,Neutral
Great Information,Positive
I have been using it for 15 days.Even those who do not understand at all have a simple and useful interface that can be used.,Positive
I use it with pleasure and it works much better and stable than PiceBot.,Positive
Only automatic order section should be developed,Positive
Emre and Kubilay Bey are very interested.Thanks Oneamz.,Positive
Very good software Oneamz makes our business very easy.thanks.,Positive
Thanks for valuable information.,Positive
"Otherwise, I have completed my account opening transactions that will take my account for a long time in a very short time thanks to Oneamz Consultancy, and in addition, I have come to the point of sale as soon as possible with the account management-fast sales support.I recommend oneamz consultancy to everyone.",Neutral
"Our training is over and I was very pleased.Ömer was very good from the narrative of the brain and his experiences were very good and he answered every question and told him again and again, thank you very much about this.I was very indecisive in the start of this business where I start, but who I ask, but I met with oneamz and Ömer Bey who came across me and I say I met.The lessons were very good and productive. Thank you very much to Ömer Bey.",Positive
"At first, like every human being, I started with a lot of question marks in my head. After visiting the Ömer Bey in his office, I left most questions in my head. I would like to thank him and everyone who contributed to the team.If you want to do it seriously, you must get this training and program. Since it is a very important concept for all of us, you will take care of the way you will take in 1 month with your own efforts.",Positive
Oneamz I have a good thing I have decided to research from different sources for 6 months.Mehmet Güzelsoy,Positive
"One of the rare companies I know, who aims to make services rather than earning income.All the questions you encounter in an area where you are completely foreign answers in a friendly way and you are informed about the possible problems that may be linked.Especially when I completed the 1st grade classes of the Oneamz Academy, I noticed that I started to find products, send orders and send refunds, and free intermediate warehouse service.I would like to thank the Oneamz family for all these efforts.",Positive
"Oneamz is recommended!I started to trade in Amazon with the training I received from Oneamz.Education content was very rich and saturated.In particular, Emre Hoca and Ömer Hodja really have high level knowledge and experience.Oneamz software is quite simple, understandable and functional.It is a great advantage to have an intermediate warehouse in the USA.Most importantly, you can be sure that you will get more than 24/7 support.Thanks to the Oneamz team.",Positive
"As someone who has experienced different software, Oneamz is a very good team both as software and in technical support.Every problem helps to say day and night.I especially thank Kubilay Bey.",Positive
"Oneamz is a company that gives support in every sense and does it willingly, who does not hesitate to share their knowledge experience and experience unconditionally, and that you are at whatever level you are in any level thanks to their trainings and consultancy.I had experience with possible competitive companies, but one -to -one, I am not afraid to sincerely say that Oneamz's understanding of service is definitely floors and times further.If you have any questions, they have always helped with themselves and you can be sure that they will be.",Positive
"They do their best to support you from crawling stage, walking phase and running stage as if they give life to a newborn child with both education and after education.",Positive
"Every person does not dare while he is taking a step into a new adventure.I was one of them, but thanks to Oneamz, I defeated all my fears and I set out this way.I wanted to convey that I am very pleased with both software and education.Good that oneamz ...",Positive
"Since I started using it, I would like to thank the Dear Oneamz family that I have learned new information about the Amazon day by the day I can advance my transactions and sales without any problems.🙂",Positive
"Whether it is a program or employees, very good and quality",Positive
Oneamz number one in every aspect as a software and as a service,Neutral
You can make 12 magza emergency with Oneamz University and start selling.,Neutral
"As a software that offers the best service compared to other programs, everyone should use it.It is also a company that contains quality people from educators to consultants.As a user, I strongly recommend you to get service…",Positive
